text_container_index,entity_urn,entity_text,entity_type,confidence,entity_link,wikidata_id
0,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.1@Ἑλληνικῆς[1],Ἑλληνικῆς,MISC,0.9850707054138184,,
0,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.1@Κυκλάδας[1],Κυκλάδας,MISC,0.8195088505744934,http://topostext.org/place/372248RKyk,Q171132
0,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.1@Αἰγαῖον[1],Αἰγαῖον,LOC,0.688615083694458,https://pleiades.stoa.org/places/658368,Q60791230
0,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.1@Σούνιον[1],Σούνιον,LOC,0.9704216122627258,http://topostext.org/place/376240LSou
0,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.1@Ἀττικῆς[1],Ἀττικῆς,MISC,0.8772996068000793,,
0,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.1@Ἀθηνᾶς[1],Ἀθηνᾶς,PER,0.9027066230773926,,
0,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.1@Σουνιάδος[1],Σουνιάδος,LOC,0.6712364554405212,,
0,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.1@Λαύριόν[1],Λαύριόν,LOC,0.9136460423469543,,
0,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.1@Ἀθηναίοις[1],Ἀθηναίοις,MISC,0.988077700138092,,
0,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.1@Πατρόκλου[1],Πατρόκλου,PER,0.9741764664649963,,
0,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.1@Πάτροκλος[1],Πάτροκλος,PER,0.9908289909362793,,
0,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.1@Αἰγυπτίαις[1],Αἰγυπτίαις,MISC,0.9150825142860413,,
0,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.1@Πτολεμαῖος[1],Πτολεμαῖος,PER,0.9967820644378662,,
0,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.1@Πτολεμαίου[1],Πτολεμαίου,PER,0.9984343647956848,,
0,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.1@Λάγου[1],Λάγου,PER,0.9737442135810852,,
0,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.1@Ἀθηναίοις[2],Ἀθηναίοις,MISC,0.990687906742096,,
0,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.1@Ἀντίγονος[1],Ἀντίγονος,PER,0.9951523542404175,,
0,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.1@Δημητρίου[1],Δημητρίου,PER,0.9967051148414612,,
1,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.2@Πειραιεὺς[1],Πειραιεὺς,PER,0.44500309228897095,,
1,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.2@Θεμιστοκλῆς[1],Θεμιστοκλῆς,PER,0.995464026927948,,
1,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.2@Ἀθηναίοις[1],Ἀθηναίοις,MISC,0.9879565834999084,,
1,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.2@Φαληρὸν[1],Φαληρὸν,LOC,0.6336508989334106,,
1,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.2@Μενεσθέα[1],Μενεσθέα,PER,0.9639589786529541,,
1,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.2@Τροίαν[1],Τροίαν,LOC,0.9935506582260132,,
1,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.2@Θησέα[1],Θησέα,PER,0.9952030181884766,,
1,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.2@Μίνῳ[1],Μίνῳ,PER,0.9977250695228577,,
1,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.2@Ἀνδρόγεω[1],Ἀνδρόγεω,PER,0.9816194772720337,,
1,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.2@Θεμιστοκλῆς[1],Θεμιστοκλῆς,PER,0.9882086515426636,,
1,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.2@Πειραιεὺς[2],Πειραιεὺς,LOC,0.8125942349433899,,
1,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.2@Φαληροῖ[1],Φαληροῖ,LOC,0.8574594259262085,,
1,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.2@Θεμιστοκλέους[1],Θεμιστοκλέους,PER,0.9949101805686951,,
1,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.2@Θεμιστοκλέα[1],Θεμιστοκλέα,PER,0.9852668046951294,,
1,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.2@Ἀθηναίοις[1],Ἀθηναίοις,MISC,0.9936662316322327,,
1,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.2@Μαγνησίας[1],Μαγνησίας,LOC,0.9845736622810364,,
1,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.2@Θεμιστοκλέους[1],Θεμιστοκλέους,PER,0.9959456324577332,,
1,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.2@Παρθενῶνα[1],Παρθενῶνα,LOC,0.8437724709510803,,
1,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.2@Θεμιστοκλῆς[2],Θεμιστοκλῆς,PER,0.997919499874115,,
2,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.3@Πειραιεῖ[1],Πειραιεῖ,LOC,0.9939814209938049,,
2,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.3@Ἀθηνᾶς[1],Ἀθηνᾶς,LOC,0.9309967160224915,,
2,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.3@Διὸς[1],Διὸς,PER,0.9949081540107727,,
2,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.3@Νίκην[1],Νίκην,PER,0.6170544028282166,,
2,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.3@Ἀθηνᾶ[2],Ἀθηνᾶ,LOC,0.9882802963256836,,
2,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.3@Λεωσθένην[1],Λεωσθένην,PER,0.8850919008255005,,
2,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.3@Ἀθηναίοις[1],Ἀθηναίοις,MISC,0.993446409702301,,
2,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.3@Ἕλλησιν[1],Ἕλλησιν,MISC,0.9925794005393982,,
2,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.3@Μακεδόνας[1],Μακεδόνας,MISC,0.9843160510063171,,
2,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.3@Βοιωτοῖς[1],Βοιωτοῖς,LOC,0.5391286015510559,,
2,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.3@Θερμοπυλῶν[1],Θερμοπυλῶν,LOC,0.9951092600822449,,
2,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.3@Λάμιαν[1],Λάμιαν,LOC,0.9247938394546509,,
2,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.3@Οἴτης[1],Οἴτης,LOC,0.6852419376373291,,
2,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.3@Λεωσθένην[2],Λεωσθένην,PER,0.5482015609741211,,
2,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.3@Ἀρκεσίλαος[1],Ἀρκεσίλαος,PER,0.9955101013183594,,
2,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.3@Ζεὺς[1],Ζεὺς,PER,0.9939834475517273,,
2,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.3@Δῆμος[1],Δῆμος,PER,0.8330559730529785,,
2,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.3@Λεωχάρους[1],Λεωχάρους,PER,0.9514504075050354,,
2,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.3@Κόνων[1],Κόνων,PER,0.7389894723892212,,
2,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.3@Ἀφροδίτης[1],Ἀφροδίτης,PER,0.9935488104820251,,
2,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.3@Λακεδαιμονίων[1],Λακεδαιμονίων,MISC,0.9931857585906982,,
2,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.3@Καρικῇ[1],Καρικῇ,LOC,0.8535537123680115,,
2,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.3@χερρονήσῳ[1],χερρονήσῳ,LOC,0.5903109908103943,,
2,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.3@Κνίδιοι[1],Κνίδιοι,MISC,0.9834234714508057,,
2,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.3@Ἀφροδίτην[1],Ἀφροδίτην,PER,0.9940833449363708,,
2,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.3@Δωρίτιδος[1],Δωρίτιδος,LOC,0.9898818135261536,,
2,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.3@Ἀκραίας[1],Ἀκραίας,LOC,0.735256552696228,,
2,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.3@Κνίδιοι[1],Κνίδιοι,MISC,0.959184467792511,,
3,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.4@Ἀθηναίοις[1],Ἀθηναίοις,MISC,0.9874058365821838,,
3,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.4@Μουνυχίᾳ[1],Μουνυχίᾳ,LOC,0.835896372795105,,
3,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.4@Μουνυχίας[1],Μουνυχίας,LOC,0.5520575642585754,,
3,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.4@Ἀρτέμιδος[1],Ἀρτέμιδος,PER,0.9948557615280151,,
3,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.4@Φαληρῷ[1],Φαληρῷ,LOC,0.6424328088760376,,
3,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.4@Δήμητρος[1],Δήμητρος,PER,0.9951162338256836,,
3,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.4@Σκιράδος[1],Σκιράδος,LOC,0.75009685754776,,
3,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.4@Ἀθηνᾶς[1],Ἀθηνᾶς,LOC,0.8870826363563538,,
3,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.4@Διὸς[1],Διὸς,PER,0.9952036142349243,,
3,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.4@Θησέως[1],Θησέως,PER,0.9840966463088989,,
3,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.4@Φαληροῦ[1],Φαληροῦ,LOC,0.9576388597488403,,
3,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.4@Φαληρὸν[1],Φαληρὸν,LOC,0.965816855430603,,
3,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.4@Ἀθηναῖοι[1],Ἀθηναῖοι,MISC,0.9963343143463135,,
3,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.4@Ἰάσονός[1],Ἰάσονός,PER,0.9963645339012146,,
3,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.4@Ἀνδρόγεω[1],Ἀνδρόγεω,PER,0.3939729630947113,,
3,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.4@Μίνω[1],Μίνω,PER,0.9895215034484863,,
4,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.5@Μήδων[1],Μήδων,MISC,0.9955925345420837,,
4,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.5@Κωλιάδος[1],Κωλιάδος,MISC,0.7529399394989014,,
4,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.5@Ἀφροδίτης[1],Ἀφροδίτης,PER,0.9971363544464111,,
